0.38867188,0.5292969,8.20
0.39453125,0.55859375,7.62
0.40234375,0.5878906,7.88
0.40429688,0.6171875,8.96
0.41015625,0.6386719,9.80
0.43164062,0.6621094,11.03
0.44726562,0.67578125,12.61
0.47460938,0.69140625,14.07
0.49804688,0.6972656,15.13
0.52734375,0.69140625,14.07
0.5488281,0.67578125,12.61
0.5703125,0.66015625,11.03
0.5859375,0.6386719,9.80
0.59375,0.6113281,8.96
0.5996094,0.5878906,7.88
0.6074219,0.55859375,7.62
0.6074219,0.5371094,8.20

0.41015625,0.5078125,10.55
0.42382812,0.49414062,13.22
0.43945312,0.4921875,14.38
0.4609375,0.4921875,14.76
0.4765625,0.5,15.06

0.51953125,0.5,15.06
0.53515625,0.4921875,14.76
0.5566406,0.4921875,14.38
0.578125,0.49414062,13.22
0.5859375,0.5078125,10.55

0.49804688,0.5214844,14.97
0.49804688,0.5371094,15.60
0.49804688,0.55078125,16.23
0.49804688,0.56640625,17.00

0.4765625,0.5878906,15.55
0.49023438,0.59375,16.43
0.49804688,0.5957031,17.37
0.51171875,0.59375,16.43
0.51953125,0.5878906,15.55

0.43164062,0.5292969,12.42
0.43945312,0.5234375,13.55
0.45507812,0.5234375,13.55
0.46875,0.53125,13.55
0.45507812,0.5371094,13.55
0.43945312,0.5371094,13.55

0.52734375,0.53515625,13.55
0.5410156,0.5234375,13.55
0.5566406,0.5214844,13.55
0.5703125,0.5292969,12.42
0.5566406,0.5371094,13.55
0.5410156,0.5371094,13.55

0.4609375,0.625,14.73
0.47460938,0.6171875,15.54
0.49023438,0.609375,16.13
0.49804688,0.6171875,16.45
0.51171875,0.6113281,16.13
0.52734375,0.6171875,15.54
0.5410156,0.625,14.73
0.52734375,0.6386719,15.54
0.51171875,0.6464844,16.13
0.49804688,0.6464844,16.45
0.49023438,0.6464844,16.13
0.47460938,0.6386719,15.54

0.46875,0.625,14.91
0.49023438,0.625,15.20
0.49804688,0.625,15.50
0.51171875,0.625,15.80
0.5332031,0.625,15.80
0.51171875,0.625,15.50
0.49804688,0.625,15.20
0.49023438,0.625,14.91

0.44726562,0.5292969,13.52
0.5488281,0.5292969,13.52
